# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 20:29:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\ducjxu2u.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220612222943_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.869688
# Diagonal elements of inverse mass matrix:
# 5.13676, 0.00617787
-262.071,0.978863,0.869688,2,7,0,262.218,105.107,18.9139,-333.9,112.553
-262.08,0.996787,0.869688,2,3,0,262.464,107.985,18.2555,-333.91,120.226
-261.644,0.986548,0.869688,1,3,0,262.229,107.298,19.5871,-333.479,115.295
-261.697,0.980272,0.869688,2,3,0,261.816,106.245,19.2434,-333.53,100.302
-261.697,0.55112,0.869688,1,3,0,265.565,106.245,19.2434,-333.53,90.6392
-262.071,0.918881,0.869688,2,3,0,262.386,105.673,20.7308,-333.903,84.8822
-262.398,0.953735,0.869688,1,1,0,262.407,105.409,21.26,-334.228,114.6
-262.938,0.952534,0.869688,2,3,0,263.299,110.276,18.7441,-334.757,89.6445
-263.836,0.837806,0.869688,2,3,0,265.674,106.691,16.5855,-335.654,97.6123
-264.707,0.962626,0.869688,2,7,0,264.778,108.048,24.0663,-336.523,100.629
-264.468,1,0.869688,3,7,0,265.705,105.282,23.7332,-336.284,90.6205
-265.405,0.961749,0.869688,2,3,0,265.732,106.58,24.7374,-337.216,143.04
-264.272,1,0.869688,2,3,0,265.71,104.82,23.4177,-336.088,58.9005
-261.826,1,0.869688,2,3,0,264.015,105.604,19.3656,-333.658,149.934
-261.797,0.875473,0.869688,2,3,0,262.97,108.07,19.0394,-333.63,90.0839
-261.779,0.972792,0.869688,2,3,0,262.136,106.769,20.348,-333.614,122.719
-264.114,0.829803,0.869688,2,3,0,264.293,110.858,17.7987,-335.924,86.9386
-263.533,1,0.869688,2,3,0,265.878,104.259,17.463,-335.35,117.815
-263.192,1,0.869688,1,1,0,263.754,104.818,17.4622,-335.012,117.035
-262.948,1,0.869688,2,3,0,263.605,103.967,18.3413,-334.768,86.7398
-262.037,1,0.869688,2,3,0,262.734,105.204,18.9014,-333.866,132.444
-262.138,0.911764,0.869688,2,3,0,262.939,105.745,18.2528,-333.967,117.966
-262.751,0.935919,0.869688,3,7,0,262.933,108.002,21.976,-334.58,110.237
-262.851,0.997664,0.869688,2,7,0,263.299,106.137,22.1449,-334.68,109.122
-262.612,0.965846,0.869688,2,3,0,263.611,105.144,21.4964,-334.441,127.049
-262.951,0.937276,0.869688,2,3,0,263.717,104.698,21.7892,-334.776,70.4114
-262.683,1,0.869688,2,3,0,263.119,104.191,20.9065,-334.507,126.101
-263.978,0.916526,0.869688,2,3,0,264.233,104.1,22.8149,-335.794,110.249
-261.818,1,0.869688,2,3,0,263.739,108.248,19.8511,-333.651,91.2895
-262.454,0.930415,0.869688,2,7,0,262.5,104.114,19.7678,-334.278,58.482
-261.751,1,0.869688,2,3,0,262.488,106.336,20.1238,-333.585,117.191
-261.751,0.737601,0.869688,1,3,0,264.028,106.336,20.1238,-333.585,90.2933
-261.674,0.998196,0.869688,2,3,0,261.79,106.323,19.4629,-333.508,110.411
-261.806,0.951483,0.869688,2,3,0,262.022,107.817,18.7941,-333.639,153.066
-263.133,0.809687,0.869688,2,3,0,263.409,110.417,21.1167,-334.952,105.537
-261.731,1,0.869688,2,3,0,262.946,106.47,20.1009,-333.566,56.5594
-261.841,0.987951,0.869688,2,7,0,261.898,106.819,18.4994,-333.673,92.6679
-262.016,0.90714,0.869688,2,3,0,262.591,108.927,19.5784,-333.846,83.2286
-262.668,0.673812,0.869688,1,3,0,264.669,104.389,21.0799,-334.493,110.722
-262.596,0.998658,0.869688,2,7,0,262.712,109.418,18.3436,-334.42,137.147
-261.751,0.876625,0.869688,1,3,0,263.523,106.142,19.9979,-333.585,95.7624
-263,0.869327,0.869688,2,3,0,263.025,110.648,20.1642,-334.819,120.725
-262.482,1,0.869688,1,1,0,262.976,109.639,20.5138,-334.308,82.4235
-262.581,0.984566,0.869688,1,1,0,262.689,109.821,20.5372,-334.406,156.697
-262.807,0.980384,0.869688,2,7,0,263.358,108.367,21.9567,-334.635,116.262
-262.194,1,0.869688,2,3,0,262.873,106.84,21.2672,-334.028,87.8084
-266.636,0.76544,0.869688,2,3,0,267.138,112.196,17.0889,-338.426,140.145
