# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 09:57:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\y1de9146.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_2_fit-20220612115707_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
# Adaptation terminated
# Step size = 0.83838
# Diagonal elements of inverse mass matrix:
# 3.48869, 0.178029, 0.00677798
-253.242,0.909516,0.83838,3,7,0,253.554,106.653,1.77831,18.2461,112.126,108.57,96.1217,110.348,106.792,117.461,117.461,112.126,110.348,112.126,99.6783,115.683,105.013,112.126,108.57,99.6783,119.24,99.6783,99.6783,115.683,99.6783,108.57,103.235,94.3434,119.24,97.9,115.683,106.792,99.6783,117.461,113.905,106.792,115.683,105.013,110.348,117.461,110.348,106.792,97.9,99.6783,115.683,105.013,99.6783,121.018,99.6783,105.013,94.3434,94.3434,94.3434,103.235,103.235,112.126,115.683,121.018,103.235,99.6783,101.457,113.905,119.24,108.57,115.683,113.905,105.013,94.3434,94.3434,105.013,108.57,105.013,99.6783,103.235,113.905,113.905,97.9,99.6783,99.6783,94.3434,92.5651,-3.82968,-4.51262,-4.11216,-3.9628,-3.83835,-3.9065,-3.9065,-4.04374,-3.82307,-3.82968,-3.98289,-3.8714,-3.86064,-4.30268,-3.93319,-3.98289,-4.47018,-3.82305,-3.98289,-3.8714,-3.82305,-3.82596,-5.48179,-6.77605,-3.95111,-3.82951,-3.8714,-3.83835,-3.98289,-3.9065,-3.84579,-3.89216,-3.85088,-3.86024,-5.14337,-6.54055,-3.9628,-5.47914,-3.91662,-3.82305,-3.85088,-4.16141,-3.98289,-4.00521,-3.98289,-5.66406,-4.13187,-3.85122,-3.85122,-4.08596,-4.08596,-3.91599,-3.8714,-4.48635,-3.83861,-3.98289,-4.33931,-3.84579,-3.82376,-4.01911,-3.85088,-3.87869,-3.86064,-6.77605,-6.77605,-3.86064,-3.82596,-4.16141,-3.98289,-3.83861,-5.77961,-5.77961,-4.04278,-3.82305,-3.82305,-3.87095,-3.90591,115.939,123.655,106.982,89.488,131.09,166.767,106.026,127.84,156.103,89.3612,119.26,112.484,136.515,99.4917,118.341,93.5176,113.201,105.544,94.0653,84.6391,57.9826,121.149,109.416,81.5733,100.151,135.252,108.689,138.545,75.9662,141.558,79.2301,94.3094,117.165,135.848,126.04,140.219,106.311,85.6962,86.131,113.89,119.59,129.599,100.818,113.645,115.127,88.9015,95.8996,84.099,93.9512,107.546,128.642,89.7713,109.538,97.6327,87.141,112.013,88.2824,106.232,132.837,116.042,74.3775,113.889,112.133,108.444,94.5313,114.945,110.903,80.6312,96.5273,106.115,130.666,83.0622,135.642,101.698,93.8395,80.2893,116.572
-254.025,0.946492,0.83838,3,7,0,254.369,106.459,1.55203,18.4544,111.236,108.132,97.2679,109.684,106.58,115.892,115.892,111.236,109.684,111.236,100.372,114.34,105.028,111.236,108.132,100.372,117.444,100.372,100.372,114.34,100.372,108.132,103.476,95.7158,117.444,98.8199,114.34,106.58,100.372,115.892,112.788,106.58,114.34,105.028,109.684,115.892,109.684,106.58,98.8199,100.372,114.34,105.028,100.372,118.996,100.372,105.028,95.7158,95.7158,95.7158,103.476,103.476,111.236,114.34,118.996,103.476,100.372,101.924,112.788,117.444,108.132,114.34,112.788,105.028,95.7158,95.7158,105.028,108.132,105.028,100.372,103.476,112.788,112.788,98.8199,100.372,100.372,95.7158,94.1638,-3.83648,-4.53632,-4.07224,-3.99048,-3.85141,-3.88521,-3.88521,-4.01959,-3.83439,-3.83648,-3.97034,-3.8619,-3.87136,-4.35115,-3.93133,-3.97034,-4.58118,-3.83444,-3.97034,-3.8619,-3.83444,-3.83936,-5.47951,-6.90258,-3.9156,-3.83629,-3.8619,-3.85141,-3.97034,-3.88521,-3.84565,-3.89781,-3.88127,-3.87053,-5.18355,-6.69053,-3.99048,-5.47401,-3.94845,-3.83444,-3.88127,-4.16581,-3.97034,-3.95306,-3.97034,-5.6356,-4.19686,-3.88221,-3.88221,-4.10086,-4.10086,-3.947,-3.8619,-4.36403,-3.85198,-3.97034,-4.31395,-3.84565,-3.84383,-4.04103,-3.88127,-3.9106,-3.87136,-6.90258,-6.90258,-3.87136,-3.83936,-4.16581,-3.97034,-3.85198,-5.86722,-5.86722,-4.01775,-3.83444,-3.83444,-3.86119,-3.88425,111.202,93.702,93.4624,124.253,103.781,117.714,112.452,129.39,129.523,106.731,61.199,93.1849,116.819,106.805,118.829,103.475,82.8925,99.5334,93.6636,71.4876,107.821,117.177,125.581,83.1376,116.106,67.83,103.356,125.237,85.0594,102.611,145.893,101.263,133.746,96.3021,95.261,113.658,121.925,107.217,106.306,134.248,150.525,121.559,99.9043,104.788,88.0121,96.3608,109.241,96.719,76.796,133.454,109.689,122.359,77.1581,133.684,106.58,118.143,75.6889,123.404,127.369,96.9265,115.201,120.489,116.996,114.065,118.492,87.4349,156.081,128.109,110.8,89.1177,113.571,109.234,104.56,110.792,104.223,77.6892,100.482
-255.197,0.744863,0.83838,2,7,0,258.356,109.509,1.45977,15.457,114.002,111.082,100.864,112.542,109.622,118.381,118.381,114.002,112.542,114.002,103.783,116.921,108.163,114.002,111.082,103.783,119.841,103.783,103.783,116.921,103.783,111.082,106.703,99.4041,119.841,102.324,116.921,109.622,103.783,118.381,115.462,109.622,116.921,108.163,112.542,118.381,112.542,109.622,102.324,103.783,116.921,108.163,103.783,121.301,103.783,108.163,99.4041,99.4041,99.4041,106.703,106.703,114.002,116.921,121.301,106.703,103.783,105.243,115.462,119.841,111.082,116.921,115.462,108.163,99.4041,99.4041,108.163,111.082,108.163,103.783,106.703,115.462,115.462,102.324,103.783,103.783,99.4041,97.9444,-3.69052,-4.40596,-3.83168,-3.7734,-3.6573,-3.804,-3.804,-4.06729,-3.67053,-3.69052,-3.73788,-3.75726,-3.79644,-4.19263,-3.91403,-3.73788,-4.50748,-3.68696,-3.73788,-3.75726,-3.68696,-3.65945,-6.47616,-8.76492,-3.85967,-3.6683,-3.75726,-3.6573,-3.73788,-3.804,-3.71943,-3.85078,-3.67684,-3.66407,-5.23481,-7.28193,-3.7734,-5.58818,-3.97483,-3.68696,-3.67684,-4.34737,-3.73788,-3.92426,-3.73788,-6.70487,-4.44497,-3.84208,-3.84208,-4.24086,-4.24086,-3.7323,-3.75726,-4.60652,-3.75103,-3.73788,-4.11273,-3.71943,-3.65706,-3.82343,-3.67684,-3.70011,-3.79644,-8.76492,-8.76492,-3.79644,-3.65945,-4.34737,-3.73788,-3.75103,-6.15345,-6.15345,-3.78032,-3.68696,-3.68696,-3.65775,-3.66585,129.196,117.73,71.1397,110.226,124.848,129.464,112.831,144.534,97.9441,92.6479,104.229,111.503,103.333,113.473,94.2624,118.493,145.921,95.4123,95.3148,108.698,89.2879,82.9295,75.7007,83.5903,138.326,104.289,130.251,124.134,70.6846,135.884,107.182,88.5857,117.846,114.809,115.764,104.391,107.766,108.99,117.513,98.5293,136.583,106.598,86.4425,131.136,106.455,90.3145,83.273,96.1767,112.83,99.119,107.786,104.637,117.504,150.442,77.7233,121.067,96.4938,146.779,99.2299,139.935,128.21,127.939,113.199,95.7669,128.409,39.8615,113.619,135.286,111.238,112.568,105.984,120.354,98.096,125.661,96.0769,112.618,127.866
-256.231,0.968504,0.83838,3,7,0,258.53,110.686,1.42116,15.8679,115.06,112.218,102.27,113.639,110.797,119.324,119.324,115.06,113.639,115.06,105.112,117.903,109.376,115.06,112.218,105.112,120.745,105.112,105.112,117.903,105.112,112.218,107.955,100.849,120.745,103.691,117.903,110.797,105.112,119.324,116.482,110.797,117.903,109.376,113.639,119.324,113.639,110.797,103.691,105.112,117.903,109.376,105.112,122.166,105.112,109.376,100.849,100.849,100.849,107.955,107.955,115.06,117.903,122.166,107.955,105.112,106.533,116.482,120.745,112.218,117.903,116.482,109.376,100.849,100.849,109.376,112.218,109.376,105.112,107.955,116.482,116.482,103.691,105.112,105.112,100.849,99.4277,-3.73409,-4.31113,-3.80189,-3.76358,-3.6845,-3.85587,-3.85587,-4.13365,-3.70954,-3.73409,-3.73068,-3.80726,-3.8578,-4.12644,-3.97968,-3.73068,-4.41947,-3.73514,-3.73068,-3.80726,-3.73514,-3.69301,-6.54386,-8.81768,-3.91251,-3.71029,-3.80726,-3.6845,-3.73068,-3.85587,-3.76666,-3.91473,-3.69197,-3.68401,-5.06313,-6.96879,-3.76358,-5.37674,-4.05547,-3.73514,-3.69197,-4.42874,-3.73068,-3.97717,-3.73068,-6.7621,-4.5464,-3.91696,-3.91696,-4.32339,-4.32339,-3.73169,-3.80726,-4.65893,-3.80889,-3.73068,-4.04335,-3.76666,-3.68434,-3.80349,-3.69197,-3.70782,-3.8578,-8.81768,-8.81768,-3.8578,-3.69301,-4.42874,-3.73068,-3.80889,-5.91422,-5.91422,-3.76227,-3.73514,-3.73514,-3.68467,-3.68389,124.984,127.391,146.487,97.5776,116.868,117.483,137.332,81.559,105.106,111.031,107.794,118.292,98.6693,149.522,113.135,126.419,135.999,95.1614,112.079,100.734,102.162,123.135,103.136,107.428,124.954,76.5418,111.119,97.8799,118.51,112.77,136.309,112.619,125.845,118.449,125.836,115.615,102.67,113.183,107.411,105.744,129.796,125.976,99.0983,109.927,110.848,91.6137,98.959,101.606,127.144,117.481,108.23,111.131,93.9342,120.525,97.5016,104.149,105.298,100.529,90.4714,103.27,101.479,106.112,90.5653,84.4442,111.831,129.147,118.648,139.807,103.849,127.44,98.4998,109.61,91.2315,80.1932,72.1108,108.143,112.588
-254.205,1,0.83838,2,3,0,256.42,110.007,1.71182,17.6571,115.276,111.852,99.8695,113.564,110.14,120.411,120.411,115.276,113.564,115.276,103.293,118.7,108.429,115.276,111.852,103.293,122.123,103.293,103.293,118.7,103.293,111.852,106.717,98.1577,122.123,101.581,118.7,110.14,103.293,120.411,116.988,110.14,118.7,108.429,113.564,120.411,113.564,110.14,101.581,103.293,118.7,108.429,103.293,123.835,103.293,108.429,98.1577,98.1577,98.1577,106.717,106.717,115.276,118.7,123.835,106.717,103.293,105.005,116.988,122.123,111.852,118.7,116.988,108.429,98.1577,98.1577,108.429,111.852,108.429,103.293,106.717,116.988,116.988,101.581,103.293,103.293,98.1577,96.4458,-3.83472,-4.31825,-3.95466,-3.8565,-3.79011,-3.96391,-3.96391,-4.16431,-3.81045,-3.83472,-3.86221,-3.91145,-3.90401,-4.13776,-4.01536,-3.86221,-4.3026,-3.80747,-3.86221,-3.91145,-3.80747,-3.79558,-5.9521,-7.50939,-4.02578,-3.79409,-3.91145,-3.79011,-3.86221,-3.96391,-3.86838,-3.95498,-3.79279,-3.79404,-4.91086,-6.30354,-3.8565,-5.21996,-4.00518,-3.80747,-3.79279,-4.33472,-3.86221,-4.09704,-3.86221,-6.1584,-4.31883,-3.8968,-3.8968,-4.23824,-4.23824,-3.82587,-3.91145,-4.70117,-3.86243,-3.86221,-4.15068,-3.86838,-3.7973,-3.89654,-3.79279,-3.80463,-3.90401,-7.50939,-7.50939,-3.90401,-3.79558,-4.33472,-3.86221,-3.86243,-5.53784,-5.53784,-3.90374,-3.80747,-3.80747,-3.79552,-3.81033,118.926,148.908,85.9128,111.756,95.8322,135.312,126.352,99.392,116.373,170.759,108.434,134.245,94.5701,112.455,116.129,94.8792,96.5839,103.015,75.6105,125.774,116.254,85.3575,124.283,71.3916,116.932,115.169,103.994,114.712,104.361,119.828,129.556,125.958,107.498,105.465,123.378,138.504,92.5139,113.92,76.2499,92.2254,105.403,109.466,123.726,140.769,101.503,93.4268,101.125,113.769,74.1775,84.0241,132.937,121.269,128.679,139.149,67.594,78.6508,124.762,140,130.603,101.451,114.975,119.895,103.296,77.7215,112.256,129.93,86.461,88.7818,85.2214,111.462,111.975,107.345,118.658,107.304,96.2438,92.0076,81.1001
-251.805,1,0.83838,2,3,0,254.002,106.871,2.60348,15.9229,114.885,109.678,91.4532,112.281,107.074,122.695,122.695,114.885,112.281,114.885,96.6602,120.092,104.471,114.885,109.678,96.6602,125.298,96.6602,96.6602,120.092,96.6602,109.678,101.867,88.8497,125.298,94.0567,120.092,107.074,96.6602,122.695,117.488,107.074,120.092,104.471,112.281,122.695,112.281,107.074,94.0567,96.6602,120.092,104.471,96.6602,127.902,96.6602,104.471,88.8497,88.8497,88.8497,101.867,101.867,114.885,120.092,127.902,101.867,96.6602,99.2637,117.488,125.298,109.678,120.092,117.488,104.471,88.8497,88.8497,104.471,109.678,104.471,96.6602,101.867,117.488,117.488,94.0567,96.6602,96.6602,88.8497,86.2463,-3.73375,-4.50117,-4.36506,-3.8042,-3.70358,-4.00452,-4.00452,-4.12361,-3.69696,-3.73375,-4.03763,-3.88753,-3.72611,-4.13727,-3.87139,-4.03763,-4.11293,-3.70869,-4.03763,-3.88753,-3.70869,-3.6869,-5.68938,-6.66317,-4.14825,-3.75636,-3.88753,-3.70358,-4.03763,-4.00452,-3.79727,-3.78539,-3.68671,-3.74699,-5.20193,-6.43118,-3.8042,-5.82466,-3.71915,-3.70869,-3.68671,-4.09965,-4.03763,-4.31871,-4.03763,-6.02997,-3.84115,-3.68931,-3.68931,-3.96442,-3.96442,-3.7383,-3.88753,-5.222,-3.69357,-4.03763,-4.53468,-3.79727,-3.74206,-3.89683,-3.68671,-3.69914,-3.72611,-6.66317,-6.66317,-3.72611,-3.6869,-4.09965,-4.03763,-3.69357,-5.77125,-5.77125,-4.18798,-3.70869,-3.70869,-3.93188,-4.05975,102.184,137.231,97.2049,146.876,89.8176,122.964,124.072,135.056,106.007,119.593,82.048,88.6695,88.1394,104.619,127.082,82.803,127.599,107.904,88.8901,108.861,99.5889,111.537,97.3316,96.2245,158.589,88.0039,119.007,123.305,75.035,119.513,108.534,111.682,124.413,97.05,111.254,82.6104,121.575,133.17,104.253,102.397,120.46,77.9064,118.566,133.004,114.444,100.231,93.8069,87.225,79.6548,103.604,114.608,127.317,135.364,114.794,97.1009,103.95,118.374,94.7155,142.933,104.875,136.975,112.362,80.7283,120.749,95.0554,144.933,114.072,101.37,91.0269,104.686,143.755,102.742,96.881,89.9834,89.4012,94.5335,104.225
